year,season,trimester,phase,Nino
2017,JJA,7,Neutral,0
2017,JAS,8,Neutral,0
2017,ASO,9,Neutral,0
2017,SON,10,Nina,-1
2017,OND,11,Nina,-1
2017,NDJ,12,Nina,-1
2018,DJF,1,Nina,-1
2018,JFM,2,Nina,-1
2018,FMA,3,Nina,-1
2018,MAM,4,Nina,-1
2018,AMJ,5,Neutral,0
2018,MJJ,6,Neutral,0
2018,JJA,7,Neutral,0
2018,JAS,8,Neutral,0
2018,ASO,9,Neutral,0
2018,SON,10,Nino,1
2018,OND,11,Nino,1
2018,NDJ,12,Nino,1
2019,DJF,1,Nino,1
2019,JFM,2,Nino,1
2019,FMA,3,Nino,1
2019,MAM,4,Nino,1
2019,AMJ,5,Nino,1
2019,MJJ,6,Neutral,0
2019,JJA,7,Neutral,0
2019,JAS,8,Neutral,0
2019,ASO,9,Neutral,0
2019,SON,10,Neutral,0
2019,OND,11,Neutral,0
2019,NDJ,12,Neutral,0
2020,DJF,1,Neutral,0
2020,JFM,2,Neutral,0
2020,FMA,3,Neutral,0
2020,MAM,4,Neutral,0
2020,AMJ,5,Neutral,0
2020,MJJ,6,Neutral,0
2020,JJA,7,Neutral,0
2020,JAS,8,Nina,-1
2020,ASO,9,Nina,-1
2020,SON,10,Nina,-1
2020,OND,11,Nina,-1
2020,NDJ,12,Nina,-1
2021,DJF,1,Nina,-1
2021,JFM,2,Nina,-1
2021,FMA,3,Nina,-1
2021,MAM,4,Nina,-1
2021,AMJ,5,Neutral,0
2021,MJJ,6,Neutral,0
2021,JJA,7,Neutral,0
2021,JAS,8,Neutral,0
2021,ASO,9,Nina,-1
2021,SON,10,Nina,-1
2021,OND,11,Nina,-1
2021,NDJ,12,Nina,-1
2022,DJF,1,Nina,-1
2022,JFM,2,Nina,-1
2022,FMA,3,Nina,-1
2022,MAM,4,Nina,-1
2022,AMJ,5,Nina,-1
2022,MJJ,6,Nina,-1
2022,JJA,7,Nina,-1
2022,JAS,8,Nina,-1
2022,ASO,9,Nina,-1
2022,SON,10,Nina,-1
2022,OND,11,Nina,-1
2022,NDJ,12,Nina,-1
2023,DJF,1,Nina,-1
2023,JFM,2,Neutral,0
