layer_id,profile_identifier,layer_identifier,top,bottom,designation,bulk_density,ca_co3,coarse_fragments,ecec,conductivity,organic_carbon,ph,clay,silt,sand,water_retention
110682,Perfil 34969,20105,20,105,S/D,,0,,16,,,7,17,,37,
110683,Perfil 34970,15,0,15,S/D,,0,,22,,,7,32,,37,
110684,Perfil 34970,1545,15,45,S/D,,0,,19,,,7,23,,32,
110685,Perfil 34970,4590,45,90,S/D,,0,,0,,,0,0,,0,
110686,Perfil 34970,90125,90,125,S/D,,0,,0,,,0,0,,0,
110687,Perfil 34971,30,0,30,S/D,,0,,8,,,7,15,,56,
110688,Perfil 34971,3060,30,60,S/D,,0,,8,,,7,15,,54,
110689,Perfil 34971,6080,60,80,S/D,,0,,0,,,0,0,,0,
110690,Perfil 34972,35,0,35,S/D,,0,,27,,,7,37,,30,
110691,Perfil 34972,3580,35,80,S/D,,0,,25,,,7,41,,34,
110692,Perfil 34972,80100,80,100,S/D,,0,,0,,,0,0,,0,
110693,Perfil 34973,30,0,30,S/D,,0,,14,,,7,19,,52,
110694,Perfil 34973,3060,30,60,S/D,,0,,5,,,8,9,,70,
110695,Perfil 34973,60110,60,110,S/D,,0,,0,,,0,0,,0,
110696,Perfil 34974,20,0,20,S/D,,0,,20,,,7,34,,35,
110697,Perfil 34974,2070,20,70,S/D,,0,,20,,,7,34,,36,
110698,Perfil 34974,70115,70,115,S/D,,0,,0,,,0,0,,0,
110699,Perfil 34975,35,0,35,S/D,,0,,21,,,8,13,,52,
110700,Perfil 34975,3550,35,50,S/D,,0,,0,,,0,0,,0,
110701,Perfil 34975,50100,50,100,S/D,,0,,0,,,0,0,,0,
110702,Perfil 34976,40,0,40,S/D,,0,,15,,,7,16,,34,
110703,Perfil 34976,4090,40,90,S/D,,0,,21,,,7,33,,35,
110704,Perfil 34976,90120,90,120,S/D,,0,,0,,,0,0,,0,
110705,Perfil 34976,120140,120,140,S/D,,0,,0,,,7,23,,38,
110706,Perfil 34977,30,0,30,S/D,,0,,17,,,7,21,,34,
110707,Perfil 34977,3060,30,60,S/D,,0,,16,,,7,18,,34,
110708,Perfil 34977,6090,60,90,S/D,,0,,0,,,0,0,,0,
110709,Perfil 34977,90145,90,145,S/D,,0,,0,,,0,0,,0,
110710,Perfil 34978,30,0,30,S/D,,0,,5,,,6,14,,64,
110711,Perfil 34978,3050,30,50,S/D,,0,,4,,,6,10,,64,
110712,Perfil 34978,5090,50,90,S/D,,0,,0,,,0,0,,0,
110713,Perfil 34978,90145,90,145,S/D,,0,,0,,,0,0,,0,
110714,Perfil 34979,40,0,40,S/D,,0,,15,,,6,17,,34,
110715,Perfil 34979,4080,40,80,S/D,,0,,12,,,7,15,,35,
110716,Perfil 34979,80140,80,140,S/D,,0,,0,,,0,0,,0,
110717,Perfil 34980,50,0,50,S/D,,0,,12,,,7,12,,35,
110718,Perfil 34980,50150,50,150,S/D,,0,,11,,,7,10,,38,
110719,Perfil 34981,30,0,30,S/D,,0,,12,,,7,11,,41,
110720,Perfil 34981,30110,30,110,S/D,,0,,20,,,7,19,,36,
110721,Perfil 34981,110150,110,150,S/D,,0,,0,,,0,0,,0,
110722,Perfil 34982,35,0,35,S/D,,0,,11,,,7,18,,34,
110723,Perfil 34982,3580,35,80,S/D,,0,,13,,,7,15,,33,
110724,Perfil 34982,80115,80,115,S/D,,0,,0,,,0,0,,0,
110725,Perfil 34983,24,0,24,S/D,,0,,5,,,6,10,,67,
110726,Perfil 34983,2453,24,53,S/D,,0,,4,,,4,18,,74,
110727,Perfil 34983,5390,53,90,S/D,,0,,0,,,0,0,,0,
110728,Perfil 34983,90130,90,130,S/D,,0,,0,,,0,0,,0,
110729,Perfil 34984,30,0,30,S/D,,0,,5,,,7,17,,33,
110730,Perfil 34984,3070,30,70,S/D,,0,,0,,,7,16,,34,
110731,Perfil 34984,7085,70,85,S/D,,0,,0,,,0,0,,0,
110732,Perfil 34985,25,0,25,S/D,,0,,7,,,7,15,,35,
110733,Perfil 34985,2570,25,70,S/D,,0,,9,,,7,16,,35,
110734,Perfil 34985,70110,70,110,S/D,,0,,0,,,0,0,,0,
110735,Perfil 34986,20,0,20,S/D,,0,,26,,,7,22,,33,
110736,Perfil 34986,2065,20,65,S/D,,0,,24,,,7,22,,26,
110737,Perfil 34986,6595,65,95,S/D,,0,,0,,,0,0,,0,
110738,Perfil 34986,95110,95,110,S/D,,0,,0,,,0,0,,0,
110739,Perfil 34987,23,0,23,S/D,,0,,3,,,6,17,,52,
110740,Perfil 34987,2352,23,52,S/D,,0,,3,,,6,18,,53,
110741,Perfil 34987,52108,52,108,S/D,,0,,0,,,0,0,,0,
